StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10Y1001A1001A65H,MAW,B19,1308
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10Y1001A1001A65H,MAW,B19,1189
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10Y1001A1001A65H,MAW,B19,1051
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10Y1001A1001A65H,MAW,B19,1048
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10Y1001A1001A65H,MAW,B19,878
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10Y1001A1001A65H,MAW,B19,827
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10Y1001A1001A65H,MAW,B19,617
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10Y1001A1001A65H,MAW,B19,474
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10Y1001A1001A65H,MAW,B19,346
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10Y1001A1001A65H,MAW,B19,232
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10Y1001A1001A65H,MAW,B19,256
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10Y1001A1001A65H,MAW,B19,385
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10Y1001A1001A65H,MAW,B19,501
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10Y1001A1001A65H,MAW,B19,577
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10Y1001A1001A65H,MAW,B19,799
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10Y1001A1001A65H,MAW,B19,1314
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10Y1001A1001A65H,MAW,B19,1793
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10Y1001A1001A65H,MAW,B19,2073
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10Y1001A1001A65H,MAW,B19,2205
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10Y1001A1001A65H,MAW,B19,2396
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10Y1001A1001A65H,MAW,B19,2476
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10Y1001A1001A65H,MAW,B19,2371
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10Y1001A1001A65H,MAW,B19,2275
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10Y1001A1001A65H,MAW,B19,1762
2022-01-01T23:00+00:00Z,2022-01-02T00:00+00:00Z,10Y1001A1001A65H,MAW,B19,1760
