StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10YIT-GRTN-----B,MAW,B10,88
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10YIT-GRTN-----B,MAW,B10,52
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10YIT-GRTN-----B,MAW,B10,61
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10YIT-GRTN-----B,MAW,B10,16
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10YIT-GRTN-----B,MAW,B10,121
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1280
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1788
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10YIT-GRTN-----B,MAW,B10,2266
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10YIT-GRTN-----B,MAW,B10,2003
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10YIT-GRTN-----B,MAW,B10,1310
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10YIT-GRTN-----B,MAW,B10,243
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10YIT-GRTN-----B,MAW,B10,14
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10YIT-GRTN-----B,MAW,B10,18
2022-01-01T23:00+00:00Z,2022-01-02T00:00+00:00Z,10YIT-GRTN-----B,MAW,B10,21
2022-01-02T03:00+00:00Z,2022-01-02T04:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-02T04:00+00:00Z,2022-01-02T05:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-02T05:00+00:00Z,2022-01-02T06:00+00:00Z,10YIT-GRTN-----B,MAW,B10,0
2022-01-02T06:00+00:00Z,2022-01-02T07:00+00:00Z,10YIT-GRTN-----B,MAW,B10,158
