StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:45+00:00Z,2022-01-01T00:00+00:00Z,10YNL----------L,MAW,B05,2302
2022-01-01T00:00+00:00Z,2022-01-01T00:15+00:00Z,10YNL----------L,MAW,B05,2214
2022-01-01T00:15+00:00Z,2022-01-01T00:30+00:00Z,10YNL----------L,MAW,B05,2211
2022-01-01T00:30+00:00Z,2022-01-01T00:45+00:00Z,10YNL----------L,MAW,B05,2226
2022-01-01T00:45+00:00Z,2022-01-01T01:00+00:00Z,10YNL----------L,MAW,B05,2179
2022-01-01T01:00+00:00Z,2022-01-01T01:15+00:00Z,10YNL----------L,MAW,B05,2107
2022-01-01T01:15+00:00Z,2022-01-01T01:30+00:00Z,10YNL----------L,MAW,B05,2092
2022-01-01T01:30+00:00Z,2022-01-01T01:45+00:00Z,10YNL----------L,MAW,B05,2062
2022-01-01T01:45+00:00Z,2022-01-01T02:00+00:00Z,10YNL----------L,MAW,B05,1994
2022-01-01T02:00+00:00Z,2022-01-01T02:15+00:00Z,10YNL----------L,MAW,B05,1903
2022-01-01T02:15+00:00Z,2022-01-01T02:30+00:00Z,10YNL----------L,MAW,B05,1864
2022-01-01T02:30+00:00Z,2022-01-01T02:45+00:00Z,10YNL----------L,MAW,B05,1815
2022-01-01T02:45+00:00Z,2022-01-01T03:00+00:00Z,10YNL----------L,MAW,B05,1745
2022-01-01T03:00+00:00Z,2022-01-01T03:15+00:00Z,10YNL----------L,MAW,B05,1718
2022-01-01T03:15+00:00Z,2022-01-01T03:30+00:00Z,10YNL----------L,MAW,B05,1713
2022-01-01T03:30+00:00Z,2022-01-01T03:45+00:00Z,10YNL----------L,MAW,B05,1702
2022-01-01T03:45+00:00Z,2022-01-01T04:00+00:00Z,10YNL----------L,MAW,B05,1668
2022-01-01T04:00+00:00Z,2022-01-01T04:15+00:00Z,10YNL----------L,MAW,B05,1657
2022-01-01T04:15+00:00Z,2022-01-01T04:30+00:00Z,10YNL----------L,MAW,B05,1663
2022-01-01T04:30+00:00Z,2022-01-01T04:45+00:00Z,10YNL----------L,MAW,B05,1663
2022-01-01T04:45+00:00Z,2022-01-01T05:00+00:00Z,10YNL----------L,MAW,B05,1670
2022-01-01T05:00+00:00Z,2022-01-01T05:15+00:00Z,10YNL----------L,MAW,B05,1669
2022-01-01T05:15+00:00Z,2022-01-01T05:30+00:00Z,10YNL----------L,MAW,B05,1665
2022-01-01T05:30+00:00Z,2022-01-01T05:45+00:00Z,10YNL----------L,MAW,B05,1667
2022-01-01T05:45+00:00Z,2022-01-01T06:00+00:00Z,10YNL----------L,MAW,B05,1669
2022-01-01T06:00+00:00Z,2022-01-01T06:15+00:00Z,10YNL----------L,MAW,B05,1669
2022-01-01T06:15+00:00Z,2022-01-01T06:30+00:00Z,10YNL----------L,MAW,B05,1667
2022-01-01T06:30+00:00Z,2022-01-01T06:45+00:00Z,10YNL----------L,MAW,B05,1664
2022-01-01T06:45+00:00Z,2022-01-01T07:00+00:00Z,10YNL----------L,MAW,B05,1664
2022-01-01T07:00+00:00Z,2022-01-01T07:15+00:00Z,10YNL----------L,MAW,B05,1667
2022-01-01T07:15+00:00Z,2022-01-01T07:30+00:00Z,10YNL----------L,MAW,B05,1694
2022-01-01T07:30+00:00Z,2022-01-01T07:45+00:00Z,10YNL----------L,MAW,B05,1723
2022-01-01T07:45+00:00Z,2022-01-01T08:00+00:00Z,10YNL----------L,MAW,B05,1729
2022-01-01T08:00+00:00Z,2022-01-01T08:15+00:00Z,10YNL----------L,MAW,B05,1727
2022-01-01T08:15+00:00Z,2022-01-01T08:30+00:00Z,10YNL----------L,MAW,B05,1730
2022-01-01T08:30+00:00Z,2022-01-01T08:45+00:00Z,10YNL----------L,MAW,B05,1730
2022-01-01T08:45+00:00Z,2022-01-01T09:00+00:00Z,10YNL----------L,MAW,B05,1730
2022-01-01T09:00+00:00Z,2022-01-01T09:15+00:00Z,10YNL----------L,MAW,B05,1726
2022-01-01T09:15+00:00Z,2022-01-01T09:30+00:00Z,10YNL----------L,MAW,B05,1730
2022-01-01T09:30+00:00Z,2022-01-01T09:45+00:00Z,10YNL----------L,MAW,B05,1734
2022-01-01T09:45+00:00Z,2022-01-01T10:00+00:00Z,10YNL----------L,MAW,B05,1727
2022-01-01T10:00+00:00Z,2022-01-01T10:15+00:00Z,10YNL----------L,MAW,B05,1733
2022-01-01T10:15+00:00Z,2022-01-01T10:30+00:00Z,10YNL----------L,MAW,B05,1735
2022-01-01T10:30+00:00Z,2022-01-01T10:45+00:00Z,10YNL----------L,MAW,B05,1730
2022-01-01T10:45+00:00Z,2022-01-01T11:00+00:00Z,10YNL----------L,MAW,B05,1730
2022-01-01T11:00+00:00Z,2022-01-01T11:15+00:00Z,10YNL----------L,MAW,B05,1733
2022-01-01T11:15+00:00Z,2022-01-01T11:30+00:00Z,10YNL----------L,MAW,B05,1735
2022-01-01T11:30+00:00Z,2022-01-01T11:45+00:00Z,10YNL----------L,MAW,B05,1762
2022-01-01T11:45+00:00Z,2022-01-01T12:00+00:00Z,10YNL----------L,MAW,B05,1770
2022-01-01T12:00+00:00Z,2022-01-01T12:15+00:00Z,10YNL----------L,MAW,B05,1771
2022-01-01T12:15+00:00Z,2022-01-01T12:30+00:00Z,10YNL----------L,MAW,B05,1765
2022-01-01T12:30+00:00Z,2022-01-01T12:45+00:00Z,10YNL----------L,MAW,B05,1764
2022-01-01T12:45+00:00Z,2022-01-01T13:00+00:00Z,10YNL----------L,MAW,B05,1796
2022-01-01T13:00+00:00Z,2022-01-01T13:15+00:00Z,10YNL----------L,MAW,B05,1860
2022-01-01T13:15+00:00Z,2022-01-01T13:30+00:00Z,10YNL----------L,MAW,B05,1935
2022-01-01T13:30+00:00Z,2022-01-01T13:45+00:00Z,10YNL----------L,MAW,B05,1950
2022-01-01T13:45+00:00Z,2022-01-01T14:00+00:00Z,10YNL----------L,MAW,B05,1965
2022-01-01T14:00+00:00Z,2022-01-01T14:15+00:00Z,10YNL----------L,MAW,B05,1947
2022-01-01T14:15+00:00Z,2022-01-01T14:30+00:00Z,10YNL----------L,MAW,B05,1950
2022-01-01T14:30+00:00Z,2022-01-01T14:45+00:00Z,10YNL----------L,MAW,B05,1985
2022-01-01T14:45+00:00Z,2022-01-01T15:00+00:00Z,10YNL----------L,MAW,B05,2077
2022-01-01T15:00+00:00Z,2022-01-01T15:15+00:00Z,10YNL----------L,MAW,B05,2183
2022-01-01T15:15+00:00Z,2022-01-01T15:30+00:00Z,10YNL----------L,MAW,B05,2200
2022-01-01T15:30+00:00Z,2022-01-01T15:45+00:00Z,10YNL----------L,MAW,B05,2206
2022-01-01T15:45+00:00Z,2022-01-01T16:00+00:00Z,10YNL----------L,MAW,B05,2210
2022-01-01T16:00+00:00Z,2022-01-01T16:15+00:00Z,10YNL----------L,MAW,B05,2194
2022-01-01T16:15+00:00Z,2022-01-01T16:30+00:00Z,10YNL----------L,MAW,B05,2196
2022-01-01T16:30+00:00Z,2022-01-01T16:45+00:00Z,10YNL----------L,MAW,B05,2180
2022-01-01T16:45+00:00Z,2022-01-01T17:00+00:00Z,10YNL----------L,MAW,B05,2178
2022-01-01T17:00+00:00Z,2022-01-01T17:15+00:00Z,10YNL----------L,MAW,B05,2170
2022-01-01T17:15+00:00Z,2022-01-01T17:30+00:00Z,10YNL----------L,MAW,B05,2169
2022-01-01T17:30+00:00Z,2022-01-01T17:45+00:00Z,10YNL----------L,MAW,B05,2173
2022-01-01T17:45+00:00Z,2022-01-01T18:00+00:00Z,10YNL----------L,MAW,B05,2121
